"Story","Title","Result","Date","Stability","Duration (s)"
"Como usuario quiero ingresar al modulo Mi Info","Ads Attachments","SUCCESS","2021-10-24T22:40:38.916-05:00[America/Bogota]","0.0","14.95"
"Como usuario quiero ingresar al modulo Mi Info","Agregar nueva dependencia","SUCCESS","2021-10-24T22:40:53.865-05:00[America/Bogota]","0.0","15.8"
