"Story","Title","Result","Date","Stability","Duration (s)"
"Como usuario quiero navegar al modulo buzz","dar like, comentar y compartir post","SUCCESS","2021-10-24T22:39:46.302-05:00[America/Bogota]","0.0","18.67"
"Yo como administrativo puedo iniciar sesion en el aplicativo","Inicio sesion invalido","SUCCESS","2021-10-24T22:40:05.723-05:00[America/Bogota]","0.0","16.79"
"Yo como administrativo puedo iniciar sesion en el aplicativo","Inicio sesion campos vacios","SUCCESS","2021-10-24T22:40:22.512-05:00[America/Bogota]","0.0","5.71"
"Yo como administrativo puedo iniciar sesion en el aplicativo","Inicio sesion valido","SUCCESS","2021-10-24T22:40:29.429-05:00[America/Bogota]","0.0","8.77"
"Como usuario quiero ingresar al modulo Mi Info","Ads Attachments","SUCCESS","2021-10-24T22:40:38.916-05:00[America/Bogota]","0.0","14.95"
"Como usuario quiero ingresar al modulo Mi Info","Agregar nueva dependencia","SUCCESS","2021-10-24T22:40:53.865-05:00[America/Bogota]","0.0","15.8"
