"Story","Title","Result","Date","Stability","Duration (s)"
"Yo como administrativo puedo iniciar sesion en el aplicativo","Inicio sesion invalido","SUCCESS","2021-10-24T22:40:05.723-05:00[America/Bogota]","0.0","16.79"
"Yo como administrativo puedo iniciar sesion en el aplicativo","Inicio sesion campos vacios","SUCCESS","2021-10-24T22:40:22.512-05:00[America/Bogota]","0.0","5.71"
"Yo como administrativo puedo iniciar sesion en el aplicativo","Inicio sesion valido","SUCCESS","2021-10-24T22:40:29.429-05:00[America/Bogota]","0.0","8.77"
